Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0.0,127.0,1.0,0.0,0.0,2.0,220.2,108.0,54.0,9.42,11.7
0.0,99.0,1.0,0.0,0.0,3.0,200.0,66.0,44.0,5.4,11.4
0.0,98.0,1.0,0.0,0.0,1.0,169.9,77.0,41.0,6.92,8.5
0.0,106.0,1.0,0.0,0.0,2.0,147.9,97.0,43.0,10.47,8.8
0.0,123.0,1.0,0.0,0.2,1.0,209.4,49.0,58.0,11.87,9.8
0.0,147.0,0.0,1.0,2.19,3.0,219.9,118.0,77.9,10.43,8.1
0.0,91.0,1.0,0.0,0.0,3.0,231.8,120.0,53.0,7.53,11.6
0.0,121.0,1.0,0.0,0.0,2.0,168.9,128.0,40.0,6.2,2.9
1.0,124.0,1.0,0.0,0.0,1.0,312.0,112.0,69.0,9.0,12.8
0.0,67.0,1.0,0.0,0.0,0.0,109.1,117.0,38.0,10.87,12.8
1.0,117.0,0.0,0.0,0.0,1.0,54.2,100.0,35.0,15.16,8.6
0.0,121.0,1.0,0.0,0.0,5.0,215.6,74.0,54.0,9.65,10.1
0.0,62.0,1.0,0.0,0.0,1.0,281.0,66.0,62.0,8.03,0.0
0.0,84.0,1.0,1.0,2.05,3.0,165.3,97.0,68.5,11.18,7.6
0.0,122.0,1.0,0.0,0.0,0.0,144.2,87.0,43.0,10.61,9.5
0.0,93.0,1.0,0.0,0.0,3.0,190.7,114.0,51.0,10.91,8.1
0.0,66.0,1.0,0.0,0.0,1.0,207.7,85.0,53.0,9.84,6.8
0.0,69.0,1.0,0.0,0.0,0.0,185.3,91.0,51.0,10.96,5.5
0.0,115.0,1.0,1.0,1.51,2.0,133.3,110.0,54.1,9.29,5.6
0.0,90.0,1.0,0.0,0.0,0.0,76.1,121.0,38.0,14.52,10.8
0.0,98.0,1.0,0.0,0.16,1.0,171.7,99.0,46.6,8.74,7.8
0.0,116.0,1.0,1.0,3.13,2.0,268.6,83.0,92.3,8.91,11.6
0.0,107.0,1.0,0.0,0.0,3.0,134.0,104.0,38.0,8.73,7.3
0.0,42.0,1.0,0.0,0.0,0.0,155.4,127.0,41.0,8.21,9.0
0.0,96.0,1.0,0.0,0.0,1.0,173.9,111.0,54.0,14.37,9.1
0.0,11.0,1.0,0.0,0.0,2.0,143.4,130.0,49.0,14.47,9.7
0.0,124.0,1.0,0.0,0.0,3.0,157.4,107.0,42.0,8.39,8.8
0.0,111.0,1.0,0.0,0.0,0.0,197.1,117.0,53.0,11.39,9.3
0.0,101.0,0.0,0.0,0.17,1.0,133.5,51.0,43.7,10.98,11.7
0.0,87.0,1.0,1.0,2.86,0.0,214.0,113.0,80.6,9.0,10.6
0.0,97.0,1.0,0.0,0.0,1.0,168.6,87.0,51.0,12.96,7.3
0.0,86.0,1.0,0.0,0.42,3.0,190.5,115.0,52.2,8.98,10.1
0.0,88.0,1.0,0.0,0.0,2.0,274.6,105.0,61.0,8.06,9.2
0.0,180.0,1.0,0.0,0.0,3.0,143.5,121.0,41.0,9.47,8.8
1.0,109.0,1.0,0.0,0.0,1.0,264.7,69.0,71.0,15.25,9.5
0.0,99.0,1.0,0.0,0.0,1.0,159.7,83.0,41.0,7.77,8.4
0.0,54.0,1.0,1.0,3.7,0.0,161.8,73.0,88.0,13.65,13.7
0.0,89.0,1.0,1.0,2.35,1.0,209.9,113.0,80.5,12.49,8.7
0.0,86.0,1.0,1.0,2.57,0.0,119.0,101.0,65.7,11.5,9.5
1.0,131.0,0.0,0.0,0.34,3.0,122.3,83.0,34.4,5.94,13.7
0.0,101.0,1.0,1.0,2.57,2.0,219.7,137.0,79.7,9.34,9.5
0.0,75.0,1.0,0.0,0.0,0.0,150.6,99.0,52.0,15.08,8.1
0.0,121.0,1.0,1.0,2.54,0.0,211.9,110.0,80.4,10.76,9.4
1.0,57.0,0.0,0.0,0.0,0.0,115.0,65.0,30.0,6.12,6.4
0.0,67.0,1.0,1.0,2.03,1.0,245.4,89.0,75.3,7.41,7.5
0.0,125.0,1.0,0.0,0.0,1.0,126.7,108.0,40.0,10.3,13.3
0.0,46.0,1.0,0.0,0.0,1.0,156.4,105.0,43.0,9.28,11.8
0.0,148.0,1.0,0.0,0.39,1.0,202.0,102.0,59.9,12.16,10.9
0.0,49.0,1.0,0.0,0.15,1.0,236.6,91.0,60.5,11.05,8.9
0.0,157.0,1.0,0.0,0.0,3.0,276.2,95.0,62.0,8.29,2.2
0.0,121.0,1.0,1.0,2.86,1.0,126.3,84.0,68.6,10.48,10.6
0.0,58.0,0.0,1.0,2.4,1.0,142.8,96.0,72.0,13.62,8.9
0.0,63.0,0.0,1.0,2.7,1.0,151.5,99.0,66.0,7.39,10.0
0.0,185.0,1.0,0.0,0.19,1.0,139.6,92.0,46.9,12.51,10.8
0.0,146.0,0.0,0.0,0.0,1.0,111.1,126.0,46.0,15.67,10.5
0.0,65.0,1.0,0.0,0.0,2.0,158.8,53.0,44.0,9.43,9.8
0.0,158.0,1.0,0.0,0.0,1.0,209.9,112.0,55.0,11.07,8.2
0.0,61.0,1.0,1.0,2.32,0.0,288.7,101.0,90.2,10.19,8.6
1.0,115.0,0.0,0.0,0.0,3.0,251.3,69.0,65.0,12.63,9.9
1.0,115.0,1.0,0.0,0.0,7.0,139.3,89.0,41.0,9.62,9.3
0.0,149.0,1.0,0.0,0.0,0.0,156.0,56.0,32.0,2.8,8.9
0.0,145.0,1.0,0.0,0.0,1.0,229.6,82.0,51.0,6.91,3.3
0.0,160.0,1.0,0.0,0.0,1.0,176.2,90.0,47.0,9.8,9.2
0.0,100.0,1.0,0.0,0.0,2.0,142.5,87.0,41.0,9.79,7.8
0.0,161.0,1.0,0.0,0.0,0.0,105.4,70.0,37.0,10.74,7.8
0.0,112.0,1.0,1.0,2.62,0.0,183.2,95.0,79.2,12.64,9.7
0.0,80.0,0.0,1.0,2.7,0.0,184.2,132.0,73.0,8.38,10.0
0.0,110.0,1.0,0.0,0.0,2.0,241.2,105.0,56.0,8.72,8.5
0.0,93.0,1.0,0.0,0.0,1.0,98.4,78.0,38.0,12.48,14.2
0.0,112.0,1.0,0.0,0.0,2.0,101.1,119.0,36.0,10.72,10.3
0.0,117.0,1.0,1.0,2.35,2.0,205.7,98.0,70.5,6.81,8.7
0.0,83.0,1.0,1.0,3.59,0.0,95.9,87.0,74.9,13.08,13.3
1.0,85.0,1.0,0.0,0.0,5.0,165.8,96.0,45.0,9.5,10.9
0.0,108.0,1.0,0.0,0.0,0.0,239.3,102.0,60.0,11.17,10.6
0.0,68.0,1.0,0.0,0.0,1.0,195.4,116.0,52.0,10.61,15.1
1.0,77.0,1.0,1.0,3.11,4.0,135.9,117.0,75.1,12.23,11.5
0.0,101.0,1.0,1.0,2.73,0.0,121.1,116.0,64.3,9.32,10.1
0.0,84.0,1.0,0.0,0.16,2.0,130.2,105.0,47.6,13.9,14.0
1.0,55.0,0.0,0.0,0.32,1.0,191.9,91.0,58.2,12.81,14.3
1.0,136.0,1.0,0.0,0.31,1.0,259.4,99.0,62.1,8.64,10.7
0.0,95.0,1.0,0.0,0.0,0.0,198.4,113.0,54.0,11.8,10.1
0.0,50.0,1.0,0.0,0.29,1.0,258.1,106.0,60.9,8.07,11.7
0.0,130.0,1.0,0.0,0.0,1.0,120.5,127.0,37.0,9.49,14.3
1.0,68.0,1.0,0.0,0.21,1.0,213.9,112.0,61.1,13.03,8.4
0.0,120.0,1.0,1.0,2.62,2.0,212.7,73.0,85.2,12.88,9.7
0.0,199.0,1.0,1.0,2.16,0.0,230.6,121.0,79.6,10.97,8.0
0.0,48.0,1.0,0.0,0.0,1.0,240.0,88.0,53.0,7.05,7.1
0.0,80.0,1.0,0.0,0.0,0.0,101.1,121.0,40.0,13.16,7.3
0.0,112.0,1.0,0.0,0.0,1.0,261.4,108.0,58.0,7.73,11.6
0.0,225.0,1.0,0.0,0.0,1.0,182.7,142.0,53.0,12.33,8.8
1.0,180.0,1.0,0.0,0.0,3.0,224.9,105.0,60.0,12.5,6.7
0.0,102.0,1.0,0.0,0.0,1.0,103.1,70.0,41.0,13.75,11.2
0.0,149.0,0.0,0.0,0.18,0.0,176.2,87.0,44.8,7.25,5.7
0.0,105.0,1.0,0.0,0.17,3.0,212.0,113.0,57.7,11.33,8.9
0.0,24.0,1.0,0.0,0.0,1.0,156.2,104.0,35.0,4.5,7.3
1.0,78.0,0.0,0.0,0.0,1.0,236.8,141.0,63.0,13.27,9.5
0.0,65.0,1.0,0.0,0.0,1.0,111.0,51.0,38.0,10.99,4.4
0.0,123.0,1.0,0.0,0.0,0.0,128.7,126.0,32.0,5.88,10.8
0.0,95.0,1.0,0.0,0.0,0.0,157.9,103.0,49.0,12.98,14.0
0.0,113.0,1.0,0.0,0.0,1.0,207.2,113.0,57.0,12.8,9.9
0.0,18.0,1.0,0.0,0.0,1.0,273.6,93.0,57.0,5.73,8.2
0.0,76.0,1.0,0.0,0.35,0.0,179.2,85.0,53.5,11.15,12.4
0.0,90.0,1.0,0.0,0.22,0.0,145.6,103.0,44.2,9.86,10.5
0.0,87.0,1.0,0.0,0.0,3.0,124.3,91.0,36.0,8.67,7.5
