Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0.0,103.0,1.0,0.0,0.0,1.0,166.6,84.0,45.0,9.62,7.7
1.0,74.0,1.0,0.0,0.0,2.0,174.1,96.0,51.0,12.56,8.3
0.0,108.0,1.0,1.0,2.65,2.0,276.6,99.0,92.5,11.01,9.8
0.0,77.0,1.0,0.0,0.0,5.0,239.2,114.0,54.0,7.5,10.3
0.0,142.0,1.0,1.0,2.92,1.0,154.0,75.0,70.2,8.29,10.8
0.0,89.0,1.0,0.0,0.0,2.0,141.1,92.0,46.0,12.46,10.8
0.0,98.0,1.0,0.0,0.0,0.0,288.1,101.0,61.0,6.9,0.0
1.0,212.0,1.0,0.0,0.23,2.0,226.0,127.0,67.3,15.23,12.6
0.0,117.0,0.0,0.0,0.0,1.0,198.4,121.0,55.0,12.48,10.5
0.0,87.0,1.0,0.0,0.0,1.0,237.2,124.0,60.0,11.13,11.0
0.0,116.0,1.0,0.0,0.0,1.0,189.5,90.0,49.0,9.49,13.1
0.0,127.0,1.0,0.0,0.33,2.0,221.0,100.0,55.3,8.04,6.8
0.0,20.0,1.0,1.0,1.92,0.0,171.5,98.0,62.2,7.66,7.1
0.0,165.0,1.0,0.0,0.13,1.0,150.5,75.0,43.3,9.66,10.3
0.0,232.0,1.0,0.0,0.14,1.0,165.6,104.0,46.4,9.8,11.8
0.0,133.0,1.0,0.0,0.0,2.0,216.2,67.0,56.0,11.11,3.1
1.0,93.0,0.0,0.0,0.0,1.0,131.4,78.0,42.0,10.99,11.1
0.0,127.0,1.0,1.0,2.65,1.0,182.0,80.0,76.5,10.81,9.8
1.0,100.0,1.0,0.0,0.0,6.0,70.8,94.0,31.0,10.78,9.5
0.0,152.0,1.0,0.0,0.23,1.0,161.4,84.0,44.3,8.18,11.8
0.0,90.0,1.0,0.0,0.0,0.0,109.9,102.0,38.0,11.04,10.9
0.0,70.0,1.0,0.0,0.0,1.0,230.3,110.0,46.0,3.9,13.2
0.0,86.0,1.0,1.0,3.0,3.0,70.9,163.0,57.0,8.34,11.1
0.0,35.0,1.0,0.0,0.32,2.0,149.3,113.0,49.2,12.11,8.9
0.0,90.0,0.0,0.0,0.0,1.0,221.8,97.0,56.0,10.19,8.4
0.0,21.0,1.0,0.0,0.0,0.0,146.0,78.0,35.0,5.49,6.8
0.0,56.0,1.0,0.0,0.0,2.0,197.0,110.0,53.0,11.14,10.6
0.0,103.0,1.0,1.0,1.86,1.0,111.8,85.0,58.6,11.98,6.9
0.0,90.0,1.0,0.0,0.0,2.0,179.2,77.0,49.0,10.54,9.2
0.0,63.0,1.0,0.0,0.0,0.0,83.0,64.0,30.0,8.85,13.0
0.0,46.0,1.0,0.0,0.0,1.0,90.4,108.0,39.0,13.81,12.7
0.0,110.0,1.0,1.0,1.7,1.0,192.3,114.0,61.0,6.47,6.3
0.0,22.0,1.0,0.0,0.0,2.0,181.8,108.0,48.0,9.93,9.3
0.0,105.0,1.0,0.0,0.17,3.0,212.0,113.0,57.7,11.33,8.9
0.0,92.0,1.0,0.0,0.0,1.0,157.7,101.0,53.0,14.93,13.8
